,Prediction,Actual,Correct?,Open,Close,Diff,Profit/M
2015-09-04,Down,Down,True,18312.13086,17792.16016,-0.02839487681555386,56264.75363110772
2015-09-05,Down,Down,True,,,,
2015-09-06,Down,Down,True,,,,
2015-09-07,Down,Up,False,17674.82031,17860.4707,0.01050366491674981,-21532.32983349962
2015-09-08,Down,Down,True,17941.91016,17427.08008,-0.028694273653636415,56863.54730727283
2015-09-09,Up,Up,True,17758.13086,18770.50977,0.05700931691411126,113493.63382822253
2015-09-10,Same,Down,False,18418.64063,18299.61914,-0.006462012718036481,-0.0
2015-09-11,Down,Up,False,18155.71094,18264.2207,0.005976618616511331,-12478.237233022663
2015-09-12,Down,Up,False,,,,
2015-09-13,Down,Up,False,,,,
2015-09-14,Down,Down,True,18341.00977,17965.69922,-0.020462916420986188,40400.83284197238
2015-09-15,Same,Down,False,18082.7207,18026.48047,-0.0031101641690458592,-0.0
2015-09-16,Up,Down,False,18238.15039,18171.59961,-0.0036489873466822864,-7822.974693364573
2015-09-17,Up,Up,True,18361.99023,18432.26953,0.0038274336888153293,7129.867377630659
2015-09-18,Down,Down,True,18275.48047,18070.21094,-0.011231963522762456,21938.927045524913
2015-09-19,Same,Down,False,,,,
2015-09-20,Same,Down,False,,,,
2015-09-21,Same,Down,False,,,,
2015-09-22,Down,Down,True,,,,
2015-09-23,Same,Down,False,,,,
2015-09-24,Up,Down,False,17803.41016,17571.83008,-0.013007624826860686,-26540.249653721374
2015-09-25,Down,Up,False,17618.30078,17880.50977,0.014882762717824294,-30290.52543564859
2015-09-26,Up,Up,True,,,,
2015-09-27,Up,Up,True,,,,
2015-09-28,Down,Down,True,17811.11914,17645.10938,-0.00932056872424003,18116.13744848006
2015-09-29,Down,Down,True,17359.38086,16930.83984,-0.02468642306174973,48847.84612349946
2015-09-30,Down,Up,False,17193.83984,17388.15039,0.011301172501790413,-23127.345003580827
2015-10-01,Up,Up,True,17479.9707,17722.41992,0.013870115926452709,27215.231852905417
2015-10-02,Same,Up,False,17564.39063,17725.13086,0.009151483440903219,0.0
2015-10-03,Same,Up,False,,,,
2015-10-04,Same,Up,False,,,,
2015-10-05,Same,Up,False,17921.0,18005.49023,0.004714593493666541,0.0
2015-10-06,Down,Down,True,18302.41016,18186.09961,-0.006354930797813463,12184.861595626926
2015-10-07,Same,Up,False,18168.19922,18322.98047,0.008519350108711521,0.0
2015-10-08,Same,Down,False,18310.61914,18141.16992,-0.009254150212202994,-0.0
2015-10-09,Same,Up,False,18281.50977,18438.66992,0.008596672374286074,0.0
2015-10-10,Up,Up,True,,,,
2015-10-11,Up,Up,True,,,,
2015-10-12,Up,Up,True,,,,
2015-10-13,Same,Down,False,18335.15039,18234.74023,-0.005476375042702819,-0.0
2015-10-14,Down,Down,True,18106.66016,17891.0,-0.01191054330805974,23296.08661611948
2015-10-15,Down,Up,False,17804.91016,18096.90039,0.01639942169750319,-33323.843395006385
2015-10-16,Down,Same,False,18300.83008,18291.80078,-0.0004933819919931137,461.76398398622746
2015-10-17,Same,Same,True,,,,
2015-10-18,Same,Same,True,,,,
2015-10-19,Same,Down,False,18282.7793,18131.23047,-0.008289157108624101,-0.0
2015-10-20,Up,Same,False,18245.53906,18207.15039,-0.0021040030592551773,-4733.006118510355
2015-10-21,Same,Up,False,18167.64063,18554.2793,0.02128172159909103,0.0
2015-10-22,Down,Same,False,18443.68945,18435.86914,-0.00042401006703152166,323.0201340630433
2015-10-23,Down,Up,False,18762.65039,18825.30078,0.0033391012835475298,-7203.20256709506
2015-10-24,Up,Up,True,,,,
2015-10-25,Up,Up,True,,,,
2015-10-26,Up,Down,False,19036.13086,18947.11914,-0.004675935496274541,-9876.870992549082
2015-10-27,Down,Down,True,18961.16016,18777.03906,-0.009710434300767012,18895.868601534024
2015-10-28,Down,Up,False,18826.93945,18903.01953,0.004041022185366394,-8607.044370732789
2015-10-29,Same,Down,False,19046.16016,18935.71094,-0.005799028206848744,-0.0
2015-10-30,Up,Up,True,18924.31055,19083.09961,0.008390744781981097,16256.489563962194
2015-10-31,Down,Up,False,,,,
2015-11-01,Down,Up,False,,,,
2015-11-02,Down,Down,True,18827.10938,18683.24023,-0.0076415952707447055,14758.190541489412
2015-11-03,Down,Down,True,,,,
2015-11-04,Up,Same,False,18941.32031,18926.91016,-0.0007607785394132538,-2046.5570788265077
2015-11-05,Same,Up,False,19029.43945,19116.41016,0.004570324324503217,0.0
2015-11-06,Down,Up,False,19194.33984,19265.59961,0.003712540811197762,-7950.081622395524
2015-11-07,Up,Up,True,,,,
2015-11-08,Up,Up,True,,,,
2015-11-09,Up,Up,True,19411.50977,19642.74023,0.011912028623211945,23299.05724642389
2015-11-10,Down,Up,False,19457.05078,19671.25977,0.011009324713290303,-22543.649426580607
2015-11-11,Down,Up,False,19602.00977,19691.39063,0.004559780402558333,-9644.560805116667
2015-11-12,Same,Same,True,19644.65039,19697.76953,0.0027040002721068213,0.0
2015-11-13,Down,Up,False,19495.25977,19596.91016,0.005214108003650297,-10953.216007300594
2015-11-14,Down,Up,False,,,,
2015-11-15,Down,Up,False,,,,
2015-11-16,Down,Up,False,19263.96094,19393.68945,0.00673425939784944,-13993.518795698881
2015-11-17,Up,Same,False,19641.66992,19630.63086,-0.0005620224779746552,-1649.0449559493104
2015-11-18,Up,Down,False,19771.85938,19649.17969,-0.006204762417241105,-12934.52483448221
2015-11-19,Same,Same,True,19851.24023,19859.81055,0.00043172718181350156,0.0
2015-11-20,Down,Up,False,19800.19922,19879.81055,0.004020733787344133,-8566.467574688266
2015-11-21,Same,Up,False,,,,
2015-11-22,Same,Up,False,,,,
2015-11-23,Same,Up,False,,,,
2015-11-24,Same,Same,True,19875.99023,19924.89063,0.0024602749062632157,0.0
2015-11-25,Down,Same,False,19856.83984,19847.58008,-0.0004663259649880791,407.65192997615816
2015-11-26,Down,Same,False,19929.9707,19944.41016,0.0007245098458672494,-1974.0196917344988
2015-11-27,Down,Down,True,19994.05078,19883.93945,-0.0055072046786108775,10489.409357221755
2015-11-28,Up,Down,False,,,,
2015-11-29,Up,Down,False,,,,
2015-11-30,Up,Down,False,19857.38086,19747.4707,-0.005534977687888243,-11594.955375776486
2015-12-01,Up,Up,True,19799.08008,20012.40039,0.01077425360865547,21023.50721731094
2015-12-02,Same,Same,True,19957.5,19938.13086,-0.0009705193536263534,-0.0
2015-12-03,Up,Same,False,19894.63086,19939.90039,0.0022754646878628826,4025.9293757257656
2015-12-04,Down,Down,True,19616.51953,19504.48047,-0.005711464759518559,10897.929519037118
2015-12-05,Down,Down,True,,,,
2015-12-06,Down,Down,True,,,,
2015-12-07,Up,Same,False,19710.39063,19698.15039,-0.0006210044351618871,-1767.008870323774
2015-12-08,Down,Down,True,19689.86914,19492.59961,-0.010018833979919317,19512.667959838633
2015-12-09,Down,Down,True,19391.5,19301.07031,-0.004663367454812772,8801.734909625544
2015-12-10,Down,Same,False,19070.01953,19046.55078,-0.001230662085221268,1936.324170442536
2015-12-11,Down,Up,False,19020.75,19230.48047,0.011026403795854511,-22577.80759170902
2015-12-12,Down,Up,False,,,,
2015-12-13,Down,Up,False,,,,
2015-12-14,Down,Same,False,18887.08984,18883.41992,-0.00019430838901546288,-136.38322196907427
2015-12-15,Up,Down,False,18869.03906,18565.90039,-0.016065400523899265,-32655.80104779853
2015-12-16,Up,Up,True,18868.19922,19049.91016,0.009630539612248246,18736.07922449649
2015-12-17,Same,Same,True,19364.57031,19353.56055,-0.0005685517325584311,-0.0
2015-12-18,Same,Down,False,19320.46094,18986.80078,-0.017269782591429195,-0.0
2015-12-19,Down,Down,True,,,,
2015-12-20,Down,Down,True,,,,
2015-12-21,Down,Up,False,18845.5,18916.01953,0.003741982436125335,-8008.96487225067
2015-12-22,Down,Same,False,18927.85938,18886.69922,-0.0021745808215108964,3824.1616430217928
2015-12-23,Same,Same,True,,,,
2015-12-24,Same,Down,False,19071.41016,18789.68945,-0.014771886695136627,-0.0
2015-12-25,Down,Same,False,18823.91016,18769.06055,-0.0029138265925511275,5302.653185102255
2015-12-26,Down,Same,False,,,,
2015-12-27,Down,Same,False,,,,
2015-12-28,Down,Same,False,18838.91016,18873.34961,0.0018281020349641963,-4181.2040699283925
2015-12-29,Same,Up,False,18843.39063,18982.23047,0.007368092225342515,0.0
2015-12-30,Same,Same,True,19070.83008,19033.71094,-0.0019463830281266636,-0.0
2015-12-31,Down,Same,False,,,,
2016-01-01,Down,Same,False,,,,
2016-01-02,Down,Same,False,,,,
2016-01-03,Down,Same,False,,,,
2016-01-04,Down,Down,True,18818.58008,18450.98047,-0.019533865383960514,38542.73076792103
2016-01-05,Down,Same,False,18398.75977,18374.0,-0.0013457303812604016,2166.460762520803
2016-01-06,Down,Down,True,18410.57031,18191.32031,-0.011908919512444993,23292.839024889985
2016-01-07,Down,Down,True,18139.76953,17767.33984,-0.02053111476328673,40537.22952657346
2016-01-08,Down,Up,False,17562.23047,17697.96094,0.007728543947299826,-15982.087894599652
2016-01-09,Up,Up,True,,,,
2016-01-10,Up,Up,True,,,,
2016-01-11,Up,Up,True,,,,
2016-01-12,Up,Down,False,17470.92969,17218.96094,-0.014422171828910813,-29369.343657821624
2016-01-13,Down,Up,False,17449.11914,17715.63086,0.015273648936756645,-31072.29787351329
2016-01-14,Down,Down,True,17384.92969,17240.94922,-0.008281912700677796,16038.825401355592
2016-01-15,Down,Down,True,17522.46094,17147.10938,-0.02142116688319462,42317.33376638924
2016-01-16,Down,Down,True,,,,
2016-01-17,Down,Down,True,,,,
2016-01-18,Down,Up,False,16826.92969,16955.57031,0.007644925269786329,-15814.850539572659
2016-01-19,Up,Up,True,16902.28906,17048.36914,0.008642621095961811,16760.242191923622
2016-01-20,Down,Down,True,17030.2793,16416.18945,-0.036058706917390215,71592.41383478043
